Workout,Body Weight (lbs),Date,Exercises,Rating
Arm Day 11,165.4,"October 8, 2024 5:30 PM (EDT)","Preacher Curl (https://www.notion.so/Preacher-Curl-1196551aa029807d931cc7ffaa11444c?pvs=21), Preacher Curl (https://www.notion.so/Preacher-Curl-1196551aa029809dbad1c41e02ab4891?pvs=21), Preacher Curl (https://www.notion.so/Preacher-Curl-1196551aa029809f8c13ffad277eff78?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1196551aa02980e9a187c66c55f9f748?pvs=21)",6
Leg Day 11,165,"October 10, 2024 5:00 PM (EDT)","Sled Press (https://www.notion.so/Sled-Press-11b6551aa029809891ecca6fe13dad52?pvs=21), DB RDL (https://www.notion.so/DB-RDL-11b6551aa02980bbab5ec95aff351b81?pvs=21), SM HR Back Squat (https://www.notion.so/SM-HR-Back-Squat-11b6551aa029801cadf2cbb20f1d5ff8?pvs=21), Leg Extension(3x-20) (https://www.notion.so/Leg-Extension-3x-20-11b6551aa0298040b2cfc2a0b23c5ccb?pvs=21)",8
Push Day 12,164.8,"October 12, 2024 11:00 AM (EDT)","DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-11d6551aa0298044a911de3f2760d3c7?pvs=21), DB Rear Delt Fly (https://www.notion.so/DB-Rear-Delt-Fly-11d6551aa0298082b667ca8d526d2695?pvs=21), DB Lateral Raise (https://www.notion.so/DB-Lateral-Raise-11d6551aa02980ebbd66c070974bb8b8?pvs=21), SM Incline Bench Press (https://www.notion.so/SM-Incline-Bench-Press-11d6551aa02980f98f67ddfa2e74a7c2?pvs=21), SM Incline Bench Press (https://www.notion.so/SM-Incline-Bench-Press-11d6551aa0298057afd5c9c4805b8240?pvs=21), Machine Converging Chest Press(3x-14) (https://www.notion.so/Machine-Converging-Chest-Press-3x-14-11d6551aa0298053bdd1c6fba44f6d0f?pvs=21)",8
Pull Day 12,166.4,"October 14, 2024 5:00 PM (EDT)","Pull Ups(1x-14(assist)) (https://www.notion.so/Pull-Ups-1x-14-assist-11f6551aa029808d817de8cbb9e201e4?pvs=21), Gorilla Row (https://www.notion.so/Gorilla-Row-11f6551aa02980399c5ed00bd07b59a9?pvs=21), Gorilla Row(1x-6) (https://www.notion.so/Gorilla-Row-1x-6-11f6551aa029809487a4c179e573aaed?pvs=21), NG Seated Cable Row(1x-14) (https://www.notion.so/NG-Seated-Cable-Row-1x-14-11f6551aa029800d8dc7f0d6e4d1c0ed?pvs=21)",8
Arm Day 12,166.4,"October 15, 2024 5:30 PM (EDT)","CG Bench Press (https://www.notion.so/CG-Bench-Press-11f6551aa02980e6a2f2df8bab88374f?pvs=21), Standing DB Curl (https://www.notion.so/Standing-DB-Curl-1206551aa02980dc8cf0d55b3d62df9a?pvs=21), Cable Bicep Curl (https://www.notion.so/Cable-Bicep-Curl-1206551aa02980e793ece7a2d4a3d24e?pvs=21), Cable Lateral Raise (https://www.notion.so/Cable-Lateral-Raise-1206551aa02980ac9a37c673acbb397f?pvs=21), Cable Overhead Tricep Extension(1x-4.5) (https://www.notion.so/Cable-Overhead-Tricep-Extension-1x-4-5-1206551aa0298005baf7ec838c3b3f27?pvs=21), Strict Barbell Curl(into no  strict) (https://www.notion.so/Strict-Barbell-Curl-into-no-strict-1206551aa029806db746d6896538144a?pvs=21)",9
Leg Day 12,166,"October 17, 2024 5:00 PM (EDT)","Back Squat (https://www.notion.so/Back-Squat-1226551aa0298016bb65e52fe505dec9?pvs=21), HR Back Squat (https://www.notion.so/HR-Back-Squat-1226551aa02980f180b2c866b22ef648?pvs=21), Machine Hip Thrust (https://www.notion.so/Machine-Hip-Thrust-1226551aa0298033ad27c4dafc85a859?pvs=21), Good Mornings (https://www.notion.so/Good-Mornings-1226551aa02980189835f2b0e326894b?pvs=21)",8
Push Day 13,166.8,"October 18, 2024 6:59 PM (EDT)","Seated Barbell OHP (https://www.notion.so/Seated-Barbell-OHP-1226551aa0298094a659c5fb1b8f658c?pvs=21), Seated Barbell OHP (https://www.notion.so/Seated-Barbell-OHP-1236551aa029804f940ecb103808038a?pvs=21), Seated Barbell OHP (https://www.notion.so/Seated-Barbell-OHP-1236551aa02980e7988cf4db2cef5ea8?pvs=21), DB Press (https://www.notion.so/DB-Press-1236551aa02980b0b3e3cd3055281d81?pvs=21), Machine Press (2x-10) (https://www.notion.so/Machine-Press-2x-10-1246551aa029808f80d9c7a992557df7?pvs=21)",8
Pull Day 13,167,"October 20, 2024 5:00 PM (EDT)","WG Lat Pulldown (https://www.notion.so/WG-Lat-Pulldown-1256551aa02980e6913bdb8d374a4515?pvs=21), WG Lat Pulldown (https://www.notion.so/WG-Lat-Pulldown-1256551aa02980d3833bfd321bfaf36d?pvs=21), Lat Pullover(1x-9) (https://www.notion.so/Lat-Pullover-1x-9-1396915b83c340cc9b3b3e67c7c4b1da?pvs=21), Seated Machine Row (https://www.notion.so/Seated-Machine-Row-1256551aa02980cbb141f890391bdeef?pvs=21), Seated Machine Row (https://www.notion.so/Seated-Machine-Row-1256551aa029803aae19d498d9ce487b?pvs=21)",8
Arm Day 13,166.8,"October 21, 2024 4:00 PM (EDT)","Skullcrushers (https://www.notion.so/Skullcrushers-1266551aa02980a1bc5fc5c18101e38e?pvs=21), DB Lateral Raise (https://www.notion.so/DB-Lateral-Raise-1266551aa0298062a043e5f3af6eb644?pvs=21), Double Cable Bicep Curl (https://www.notion.so/Double-Cable-Bicep-Curl-1266551aa02980ccab91d6aa4facd6b6?pvs=21)",7
Leg Day 13,166.2,"October 22, 2024 4:30 PM (EDT)","Back Squat (https://www.notion.so/Back-Squat-1276551aa02980408f92c5a813d82440?pvs=21), Hack Squat (https://www.notion.so/Hack-Squat-1276551aa029801ea45fd6a03d650533?pvs=21), Leg Press(1x-20) (https://www.notion.so/Leg-Press-1x-20-1276551aa02980d2a41eedc026875c31?pvs=21), Leg Extension(3x-20) (https://www.notion.so/Leg-Extension-3x-20-1276551aa0298005b35ad5052c229d3f?pvs=21)",8
Push Day 14,166.8,"October 24, 2024 6:00 PM (EDT)","Incline Bench Press (https://www.notion.so/Incline-Bench-Press-1296551aa0298050b5d3cb4e7a0a0e8a?pvs=21), Incline Bench Press (https://www.notion.so/Incline-Bench-Press-1296551aa02980eaa7cedbd04a09737e?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1296551aa029805e94e7d5b10a4063ab?pvs=21), Machine Shoulder Press (https://www.notion.so/Machine-Shoulder-Press-1296551aa02980529c8de78bb4a47d61?pvs=21), Machine Pec Fly(1x-20) (https://www.notion.so/Machine-Pec-Fly-1x-20-1296551aa0298016b500f0239b40fea5?pvs=21)",8
Pull Day 14,167.8,"October 25, 2024 5:00 PM (EDT)","Bent-Over Row (clean) (https://www.notion.so/Bent-Over-Row-clean-12a6551aa029808c983ac92773d79fa1?pvs=21), Upright Row  (https://www.notion.so/Upright-Row-12a6551aa029806c9856cb91da82f917?pvs=21), DB High Pull (https://www.notion.so/DB-High-Pull-12a6551aa0298018ae89c8d6d5148c44?pvs=21), CG Seated Cable Row(1x-14) (https://www.notion.so/CG-Seated-Cable-Row-1x-14-12a6551aa029805dbacae1f8aa1d344b?pvs=21)",8
Arm Day 14,166,"October 27, 2024 4:00 PM (EDT)","Barbell Curl(1x-5) (https://www.notion.so/Barbell-Curl-1x-5-12a6551aa02980369658ef6613b1396b?pvs=21), Seated Skullcrushers (https://www.notion.so/Seated-Skullcrushers-12c6551aa029808c84c9cdf796d8198f?pvs=21), Preacher Curl (https://www.notion.so/Preacher-Curl-12c6551aa029805aa891f8fce587fead?pvs=21), Cable Overhead Tricep Extension(2x-6.8) (https://www.notion.so/Cable-Overhead-Tricep-Extension-2x-6-8-12c6551aa029809f95a5ee5013d08817?pvs=21)",8
Leg Day 14,167,"October 29, 2024 6:00 PM (EDT)","Deadlift (https://www.notion.so/Deadlift-12e6551aa0298087ab7de2535ccea633?pvs=21), SM HR Back Squat (https://www.notion.so/SM-HR-Back-Squat-12e6551aa029803ca5a2d730cfae643e?pvs=21)",6
Push Day 15,165.4,"November 1, 2024 4:00 PM (EDT)","SM Seated Shoulder Press (https://www.notion.so/SM-Seated-Shoulder-Press-1316551aa0298010a047c004b0913c8b?pvs=21), Bench Press (https://www.notion.so/Bench-Press-1316551aa029802aa045dfe48fc55913?pvs=21), Bench Press (https://www.notion.so/Bench-Press-1316551aa02980b885fbd87bda3b72fb?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1326551aa0298021bcd1c0878e799883?pvs=21)",7
Pull Day 15,165.4,"November 2, 2024 6:00 PM (EDT)","SG Pull Ups (https://www.notion.so/SG-Pull-Ups-1326551aa029809aa905fd53493d0618?pvs=21), Seated Machine Row (https://www.notion.so/Seated-Machine-Row-1326551aa0298033bf2dcbfb08a45127?pvs=21), Seated Machine Row (https://www.notion.so/Seated-Machine-Row-1326551aa029808fbdfde423afa2a639?pvs=21), CG Lat Pulldown (https://www.notion.so/CG-Lat-Pulldown-1326551aa02980de86afe262c2b242eb?pvs=21)",7
Arm Day 15,166,"November 3, 2024 3:00 PM (EST)","Preacher Curl (https://www.notion.so/Preacher-Curl-1326551aa029809e9990cb2a640e5113?pvs=21), DB Hammer Curl (https://www.notion.so/DB-Hammer-Curl-1336551aa02980df8805ea3765a41e41?pvs=21), Weighted Dips(1x-20) (https://www.notion.so/Weighted-Dips-1x-20-1336551aa029806c9311dc6ef3b9d5e2?pvs=21), Machine Lateral Raise(1x-14) (https://www.notion.so/Machine-Lateral-Raise-1x-14-1336551aa029802fbc0ce6ed82234de1?pvs=21), Double Cable Bicep Curl (https://www.notion.so/Double-Cable-Bicep-Curl-1336551aa02980abba23d97423aca500?pvs=21)",8
Leg Day 15,166,"November 9, 2024 3:30 AM (EST)","Sled Press (https://www.notion.so/Sled-Press-1396551aa02980e9b35bf834a998f0bb?pvs=21), DB RDL (https://www.notion.so/DB-RDL-1396551aa0298032bb58dc7c3ae4039c?pvs=21), SM HR Squat (https://www.notion.so/SM-HR-Squat-1396551aa02980f5aa8ae1294f94a641?pvs=21), Leg Extension(3x-20) (https://www.notion.so/Leg-Extension-3x-20-1396551aa029800689d3fab22b4ecf7c?pvs=21)",8
Push Day 16,166.8,"November 10, 2024 10:00 AM (EST)","Incline DB Press (https://www.notion.so/Incline-DB-Press-13a6551aa02980baa195dde07c48e09b?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-13a6551aa029802d9806d81c4ca11524?pvs=21), Machine Press (https://www.notion.so/Machine-Press-13a6551aa029806aa88fca56e97c449d?pvs=21), Machine Converging Shoulder Press (https://www.notion.so/Machine-Converging-Shoulder-Press-13a6551aa0298097b3d6c3ab3e9303d9?pvs=21)",8
Pull Day 16,168.4,"November 14, 2024 3:00 AM (EST)","WG Lat Pulldown(1x-20) (https://www.notion.so/WG-Lat-Pulldown-1x-20-13e6551aa02980e4a554eb7174c0311f?pvs=21), CG Seated Cable Row (https://www.notion.so/CG-Seated-Cable-Row-13e6551aa02980fc96aef35cba7ec77e?pvs=21), Upright Row (https://www.notion.so/Upright-Row-13e6551aa0298015ae48e4db38a92e44?pvs=21), DB High Pull (https://www.notion.so/DB-High-Pull-13e6551aa02980d98b4eeb7868cdd5f8?pvs=21)",7
Arm Day 16,165.6,"November 16, 2024 6:00 AM (EST)","Overhead Cable Tricep extension (https://www.notion.so/Overhead-Cable-Tricep-extension-1406551aa02980e88e36dfcce46274e8?pvs=21), Tricep Pushdown (https://www.notion.so/Tricep-Pushdown-1406551aa02980d5bcf1f53f299a6f21?pvs=21), Preacher Curl (https://www.notion.so/Preacher-Curl-1406551aa02980cfbce7d914bb2c74e2?pvs=21), Preacher Curl (https://www.notion.so/Preacher-Curl-1406551aa02980a19c0fd608df5f9c14?pvs=21)",6
Leg Day 16,165.6,"November 18, 2024 11:00 AM (EST)","Hack Squat (https://www.notion.so/Hack-Squat-1426551aa02980c7ba93d2386ff245f2?pvs=21), Hack Squat (https://www.notion.so/Hack-Squat-1426551aa0298019b970eca66df5d516?pvs=21), Machine Hip Thrust (https://www.notion.so/Machine-Hip-Thrust-1426551aa02980c4a861d7a90b91c03b?pvs=21)",7
Push Day 17,166.4,"November 19, 2024 9:00 AM (EST)","Bench Press (https://www.notion.so/Bench-Press-1436551aa02980e89fbefc9200411e49?pvs=21), Machine Shoulder Press (https://www.notion.so/Machine-Shoulder-Press-1436551aa029807784c5f9df2ed00099?pvs=21), Machine Shoulder Press (https://www.notion.so/Machine-Shoulder-Press-1436551aa0298049885bd6f44ac43e54?pvs=21)",6
Pull Day 17,167.2,"November 21, 2024 11:00 AM (EST)","Lat Pullover (1x-4.5) (https://www.notion.so/Lat-Pullover-1x-4-5-1456551aa02980dfbf10ff44b9b75c84?pvs=21), Meadows Row (https://www.notion.so/Meadows-Row-1456551aa029804b8362cbe75ea90e6b?pvs=21), WNG Lat Pulldown (https://www.notion.so/WNG-Lat-Pulldown-1456551aa0298082b58dc019dbd348e0?pvs=21), Machine Diverging Lat Pulldown(1x-20) (https://www.notion.so/Machine-Diverging-Lat-Pulldown-1x-20-1456551aa029806c89cbe56e51aea3ef?pvs=21)",8
Arm Day 17,166,"November 30, 2024 4:00 PM (EST)","CG Bench Press (https://www.notion.so/CG-Bench-Press-1466551aa029807191afd064fd61026f?pvs=21), Double Cable Bicep Curl (https://www.notion.so/Double-Cable-Bicep-Curl-14e6551aa029802fab09ee80b4133cac?pvs=21), Cable Lateral Raise (https://www.notion.so/Cable-Lateral-Raise-14e6551aa02980c28ba6fefeadbad70d?pvs=21), Strict Barbell Curl (https://www.notion.so/Strict-Barbell-Curl-14e6551aa029809c9349ddad5b37a5a7?pvs=21), Barbell Curl (https://www.notion.so/Barbell-Curl-14e6551aa0298032940ec5267996deae?pvs=21), Dips(f) (https://www.notion.so/Dips-f-1506551aa029800f8150f158cde2591e?pvs=21)",8
Leg Day 17,166,"December 3, 2024 8:30 AM (EST)","Barbell RDL (https://www.notion.so/Barbell-RDL-1516551aa02980afa95eeabe33ac2328?pvs=21), Hack Squat (https://www.notion.so/Hack-Squat-1516551aa0298057875bddf9a7aca13a?pvs=21)",6
Push Day 18,167,"December 4, 2024 2:00 AM (EST)","DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1526551aa02980c8b919efe5f4731a7a?pvs=21), Bench Press (https://www.notion.so/Bench-Press-1516551aa02980ba8b39d56d50201476?pvs=21), Incline DB Press (https://www.notion.so/Incline-DB-Press-1526551aa02980c6af32c91328bb8294?pvs=21)",7
Pull Day 18,166,"December 5, 2024 7:30 AM (EST)",Bent-Over Row (https://www.notion.so/Bent-Over-Row-3a45d5a2715b4cfcb2c63d8923ceda3b?pvs=21),2
Arm Day 18,167.4,"December 10, 2024 1:30 AM (EST)","Preacher Curl (https://www.notion.so/Preacher-Curl-1536551aa0298038a2e9f87df5a1e753?pvs=21), Preacher Curl(f) (https://www.notion.so/Preacher-Curl-f-1586551aa029800f83fdc00114aff12c?pvs=21), Cable Overhead Tricep Extension (https://www.notion.so/Cable-Overhead-Tricep-Extension-1586551aa02980a39b84e43a7997b926?pvs=21), Tricep Pushdown (https://www.notion.so/Tricep-Pushdown-1586551aa0298034bbf9c625a2582df2?pvs=21), Machine Lateral Raise(1x-14) (https://www.notion.so/Machine-Lateral-Raise-1x-14-1586551aa02980afa885e6a80c9756b4?pvs=21)",7
Leg Day 18,166.2,"December 11, 2024 3:30 AM (EST)","Back Squat (https://www.notion.so/Back-Squat-1596551aa029807d8fc3d74beb5c7b85?pvs=21), Back Squat (https://www.notion.so/Back-Squat-1596551aa0298048be33c41417be2b97?pvs=21), Good Morning (https://www.notion.so/Good-Morning-1596551aa029803293c8cf91b70548da?pvs=21)",7
Push Day 19,166.6,"December 12, 2024 1:00 AM (EST)","Bench Press (https://www.notion.so/Bench-Press-15a6551aa02980f79111c521fbe70c19?pvs=21), Bench Press (https://www.notion.so/Bench-Press-15a6551aa0298016990ad12f94417560?pvs=21), Bench Press (https://www.notion.so/Bench-Press-15a6551aa02980ebaa77c7a1e332001a?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-15a6551aa02980f3a4c9c1c35594b9b4?pvs=21), Incline DB Press (1x-6) (https://www.notion.so/Incline-DB-Press-1x-6-15a6551aa0298076b3b9ef3fc185fbc6?pvs=21)",8
Pull Day 19,166.6,"December 14, 2024 3:00 AM (EST)","Pull Up (https://www.notion.so/Pull-Up-15c6551aa0298084843befe95a1d141b?pvs=21), NG Seated Cable Row(1x-14) (https://www.notion.so/NG-Seated-Cable-Row-1x-14-15c6551aa02980a6a80cc7ba0f853f23?pvs=21), SM Upright Row (https://www.notion.so/SM-Upright-Row-15c6551aa029806f80e4d18beb0a7d2f?pvs=21), CG Lat Pulldown (other) (https://www.notion.so/CG-Lat-Pulldown-other-15c6551aa029802d9d4af14c76dc16cb?pvs=21)",8
Arm Day 19,166.2,"December 18, 2024 1:30 AM (EST)","EZ Bar Curl (https://www.notion.so/EZ-Bar-Curl-1606551aa0298070a9eac72ac8856515?pvs=21), DB Hammer Curl (https://www.notion.so/DB-Hammer-Curl-1606551aa02980f9a4a9eec744907c3a?pvs=21), Skullcrushers (https://www.notion.so/Skullcrushers-1606551aa02980f0a761d89f9202ad7b?pvs=21)",4
Leg Day 19,166,"December 20, 2024 4:00 AM (EST)","Hack Squat  (https://www.notion.so/Hack-Squat-1626551aa02980c793b4e196e6ffc63a?pvs=21), Sled Press (https://www.notion.so/Sled-Press-1626551aa02980008e3cf46685d24b4a?pvs=21)",5
Push Day 20,165,"December 21, 2024 9:00 AM (EST)","Incline DB Press (1x-4) (https://www.notion.so/Incline-DB-Press-1x-4-1636551aa029809bab64f584e524cd5a?pvs=21), SM Seated Shoulder Press (https://www.notion.so/SM-Seated-Shoulder-Press-1636551aa02980dd8a41cdde632927ad?pvs=21)",6
Pull Day 20,166,"December 22, 2024 6:00 AM (EST)","Seated Machine Row (https://www.notion.so/Seated-Machine-Row-70c33345eccb420f8f705c5a5fe5f1c1?pvs=21), Seated Machine Row (Clean) (https://www.notion.so/Seated-Machine-Row-Clean-1646551aa029805cbc8fc99018f9470b?pvs=21), Machine Pulldown (https://www.notion.so/Machine-Pulldown-1646551aa02980578229c1fe99a215e8?pvs=21), Lat Pullover (1x-6.5) (https://www.notion.so/Lat-Pullover-1x-6-5-1646551aa0298058abf8f8426fd1f543?pvs=21), NG Pull Up (https://www.notion.so/NG-Pull-Up-1646551aa02980a0859bc85f4da15f74?pvs=21)",7
Arm Day 20,166.6,"December 23, 2024 11:30 AM (EST)","Incline DB Curl (https://www.notion.so/Incline-DB-Curl-1656551aa0298045b3c2e00ed0f4fffd?pvs=21), Standing DB Curl (https://www.notion.so/Standing-DB-Curl-1656551aa02980c2ac39de7b9cbe78e5?pvs=21), DB 1.5 Lateral Raise (https://www.notion.so/DB-1-5-Lateral-Raise-1656551aa02980a78269f50bfc35a574?pvs=21), DB Rear Delt Fly (https://www.notion.so/DB-Rear-Delt-Fly-1656551aa02980ea890df2aed6a30dd4?pvs=21), SB Tricep Pushdown (https://www.notion.so/SB-Tricep-Pushdown-07bf8902334c46d4928ddfc01d96d3d1?pvs=21)",7
Leg Day 20,166.2,"December 24, 2024 9:30 AM (EST)","Back Squat (https://www.notion.so/Back-Squat-1666551aa0298077b764fc6b2033efb8?pvs=21), Barbell RDL (https://www.notion.so/Barbell-RDL-1666551aa02980af9389f3b9bb7538d4?pvs=21), SM HR Squat (https://www.notion.so/SM-HR-Squat-1666551aa02980d89cfbd421f316fa94?pvs=21)",7
Push Day 21,166.2,"December 27, 2024 10:00 AM (EST)","Bench Press (https://www.notion.so/Bench-Press-1696551aa029805f9c93f299c7e54418?pvs=21), Bench Press (https://www.notion.so/Bench-Press-1696551aa02980d5b20be7740bff7184?pvs=21), Bench Press (https://www.notion.so/Bench-Press-1696551aa029804192b0f5a13c380113?pvs=21), Seated Barbell OHP (https://www.notion.so/Seated-Barbell-OHP-1696551aa029808c82ced3b1f6d497ed?pvs=21), Machine Converging Chest Press(2x-14) (https://www.notion.so/Machine-Converging-Chest-Press-2x-14-1696551aa02980618b82d965def0f3bc?pvs=21)",7
Pull Day 21,166.8,"December 28, 2024 1:30 PM (EST)","Bent-Over Row (https://www.notion.so/Bent-Over-Row-16a6551aa0298096a8f6ff4d6c44768c?pvs=21), Bent-Over Row (https://www.notion.so/Bent-Over-Row-16a6551aa02980a3b0e3c312f0c406e9?pvs=21), Upright Row (https://www.notion.so/Upright-Row-16a6551aa0298015a40bca67181607b9?pvs=21), WG lat Pulldown(1x-20) (https://www.notion.so/WG-lat-Pulldown-1x-20-16a6551aa0298034932cd8f5de35bd37?pvs=21), DB High Pull (https://www.notion.so/DB-High-Pull-16a6551aa02980629863f89db7bc6026?pvs=21)",7
Arm Day 21,166.8,"December 29, 2024 11:00 AM (EST)","RG Lat Pulldown (bf) (https://www.notion.so/RG-Lat-Pulldown-bf-16b6551aa02980fbb80ad42d82c02501?pvs=21), Dips(1x-20) (https://www.notion.so/Dips-1x-20-16b6551aa02980c4ba4ac20398780e28?pvs=21), Cable Lateral Raise(strict) (https://www.notion.so/Cable-Lateral-Raise-strict-16b6551aa0298063a596f3ee2ed2949f?pvs=21), Cable Overhead Tricep Extension (https://www.notion.so/Cable-Overhead-Tricep-Extension-16b6551aa02980389791e5e7aa6ccdb4?pvs=21), Cable Tricep Pushdown (https://www.notion.so/Cable-Tricep-Pushdown-16b6551aa0298081979fd4757124703f?pvs=21), Double Cable Bicep Curl (https://www.notion.so/Double-Cable-Bicep-Curl-16b6551aa02980ecbba1d4dbd42d8a1e?pvs=21)",8
Leg Day 21,168.4,"December 31, 2024 11:00 AM (EST)","HR Back Squat (https://www.notion.so/HR-Back-Squat-16d6551aa02980a28438d50a450bc1e8?pvs=21), HR Back Squat (https://www.notion.so/HR-Back-Squat-a09d78910cdf41f4adc3bfa52f16e3ed?pvs=21), HR Back Squat (https://www.notion.so/HR-Back-Squat-16d6551aa02980aa8077d843d47cfd7a?pvs=21)",7
Push Day 22,168.4,"January 1, 2025 10:00 AM (EST)","Military Press (https://www.notion.so/Military-Press-16e6551aa02980f28b6de98bc33a950a?pvs=21), Military Press (https://www.notion.so/Military-Press-16e6551aa029803292afd76cdc0897f4?pvs=21), SM Incline Bench Press (https://www.notion.so/SM-Incline-Bench-Press-16e6551aa029803fac59ebd8fa61408c?pvs=21), Machine Chest Fly (https://www.notion.so/Machine-Chest-Fly-16e6551aa02980e3976ce9551cf22e0b?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-16e6551aa02980c6979df372bf853477?pvs=21)",7
Pull Day 22,170,"January 3, 2025 12:30 PM (EST)","WG Lat Pulldown (https://www.notion.so/WG-Lat-Pulldown-1706551aa02980ff9893d6c51db5cbcb?pvs=21), NG Lat Pulldown (https://www.notion.so/NG-Lat-Pulldown-1706551aa02980498d75c6c7fc2091d6?pvs=21), DB Row (https://www.notion.so/DB-Row-1706551aa02980ef9a1ec7f08fa7e832?pvs=21), NG Seated Cable Row (https://www.notion.so/NG-Seated-Cable-Row-1706551aa02980e2afafe0670876e8cf?pvs=21)",7
Arm Day 22,168.8,"January 5, 2025 1:30 AM (EST)","DB Lateral Raise (https://www.notion.so/DB-Lateral-Raise-1726551aa0298001b823e7095de575d7?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1726551aa02980aba3fcf20bd05743c9?pvs=21), Preacher Curl (https://www.notion.so/Preacher-Curl-1726551aa02980cc9a80f3cbd27bdd6b?pvs=21), DB Hammer Curl (https://www.notion.so/DB-Hammer-Curl-1726551aa0298094b0a6c4b66db12572?pvs=21), Skullcrushers (https://www.notion.so/Skullcrushers-1726551aa02980e3b139fdc0e584d6b1?pvs=21), Strict barbell curl (into not strict) (https://www.notion.so/Strict-barbell-curl-into-not-strict-1726551aa02980e4831ef08006006521?pvs=21), Double Cable Bicep Curl(1x-4.5) (https://www.notion.so/Double-Cable-Bicep-Curl-1x-4-5-17a6551aa02980339d14dd2a7ba047c9?pvs=21)",8
Leg Day 22,168,"January 7, 2025 12:00 PM (EST)","Back Squat (https://www.notion.so/Back-Squat-1746551aa02980a8a237eee42df8f33a?pvs=21), Back Squat (https://www.notion.so/Back-Squat-1746551aa029807cb73fc4b42b697e2d?pvs=21), Good Morning (https://www.notion.so/Good-Morning-1746551aa0298001a214e489e6927c68?pvs=21), Good morning (https://www.notion.so/Good-morning-1746551aa0298086ab80fb4ed370c859?pvs=21), Leg Press(2x-20) (https://www.notion.so/Leg-Press-2x-20-1756551aa02980fe81dff4fa2fb4e74d?pvs=21)",8
Push Day 23,169,"January 9, 2025 2:00 AM (EST)","Incline DB Press(1x-6) (https://www.notion.so/Incline-DB-Press-1x-6-1766551aa02980999948ddcb6bf5270f?pvs=21), Machine Shoulder Press (https://www.notion.so/Machine-Shoulder-Press-1766551aa029807b84cef13bb9e5076b?pvs=21), Machine Press (https://www.notion.so/Machine-Press-1766551aa02980d6b21ec0ec9685e15c?pvs=21)",7
Pull Day 23,168.4,"January 10, 2025 2:00 AM (EST)","Pull Up (https://www.notion.so/Pull-Up-1776551aa0298097bf04efd59707c80f?pvs=21), CG Seated Cable Row (https://www.notion.so/CG-Seated-Cable-Row-1776551aa02980a9af9acbcdbfb2eab8?pvs=21), Single Arm Cable Lat Pulldown (https://www.notion.so/Single-Arm-Cable-Lat-Pulldown-1776551aa0298092966ce510767f490f?pvs=21), DB Rear Delt Fly (https://www.notion.so/DB-Rear-Delt-Fly-1d4750f618aa4e5eab77acbe44dd1478?pvs=21), DB Upright Row (https://www.notion.so/DB-Upright-Row-1776551aa02980e2b2eadab09949c49f?pvs=21)",8
Arm Day 23,169,"January 13, 2025 3:00 AM (EST)","Incline DB Curl (https://www.notion.so/Incline-DB-Curl-17a6551aa029803e8876da8614f69caa?pvs=21), Standing DB Curl (https://www.notion.so/Standing-DB-Curl-17a6551aa0298099b447d8230efa5448?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-17a6551aa029803ca7ade3aa51c40710?pvs=21), DB 1.5 Lateral Raise (https://www.notion.so/DB-1-5-Lateral-Raise-17a6551aa02980398f3af0cd5d46c781?pvs=21), Cable Tricep Pushdown (https://www.notion.so/Cable-Tricep-Pushdown-2f1c5a5f803f4fdb8e895048b0c2e9e6?pvs=21), Double Cable Bicep Curl(1x-4.5) (https://www.notion.so/Double-Cable-Bicep-Curl-1x-4-5-17a6551aa02980339d14dd2a7ba047c9?pvs=21), Cable Overhead Tricep Ext(f) (https://www.notion.so/Cable-Overhead-Tricep-Ext-f-17a6551aa029804f983bd52fae44904c?pvs=21)",9
Leg Day 23,166.8,"January 15, 2025 5:30 AM (EST)","Deadlift (https://www.notion.so/Deadlift-17c6551aa02980539f50ed09b4f55d03?pvs=21), SM HR Squat (https://www.notion.so/SM-HR-Squat-17c6551aa02980f8bb76f9a863c55b77?pvs=21), Sled Press (https://www.notion.so/Sled-Press-17c6551aa0298098907bdcb8122398ca?pvs=21)",7
Push Day 24,166,"January 17, 2025 4:30 PM (EST)","Military Press (https://www.notion.so/Military-Press-17e6551aa029808cb2b0e287f7159f97?pvs=21), Military Press (https://www.notion.so/Military-Press-17e6551aa02980abbc13e367db3c7c69?pvs=21), Machine Press (https://www.notion.so/Machine-Press-17e6551aa029809d8389eed14bd69a4e?pvs=21)",5
